日期,中壢,湖口,泰安,西螺,新營,仁德,關西,西湖,清水,南投,古坑,東山,關廟,石碇,蘇澳
2023/6/2,"345,036","680,785","1,020,549","1,198,582","621,056","529,049","1,220,487","777,747","1,492,581","411,916","314,273","723,741","251,966","277,976","460,692"
2023/6/3,"400,553","1,092,858","1,573,860","1,698,866","811,462","762,530","1,867,930","1,309,229","2,576,515","646,568","576,365","1,405,182","475,661","358,609","698,014"
2023/6/4,"418,977","1,175,600","1,433,241","1,777,823","804,952","777,609","2,021,087","1,256,174","2,811,284","674,704","706,855","1,674,879","473,681","512,731","714,233"
2023/6/5,"284,722","599,294","1,104,966","1,002,256","529,685","535,322","891,653","695,230","1,350,289","343,591","270,283","795,922","393,562","315,509","524,027"
2023/6/6,"299,782","555,955","802,128","812,036","479,754","484,543","901,585","523,253","1,052,111","284,047","235,131","671,278","276,165","273,897","374,518"
2023/6/7,"305,824","638,191","836,080","911,792","496,115","475,596","966,024","578,797","1,090,044","272,660","184,158","603,092","231,611","269,551","406,506"
2023/6/8,"295,707","548,252","889,430","866,596","507,797","475,343","984,912","570,258","1,229,315","257,078","228,245","608,691","259,719","287,737","482,966"
2023/6/9,"335,308","699,940","1,054,385","1,357,727","699,300","500,880","1,400,223","824,217","1,672,769","429,225","338,316","784,491","296,639","353,074","562,506"
2023/6/10,"408,563","1,137,611","1,683,503","1,824,817","832,534","839,178","2,068,639","1,373,158","2,620,702","695,993","636,344","1,409,193","539,367","347,530","796,416"
2023/6/11,"403,557","1,161,530","1,680,523","1,921,639","896,359","837,252","2,131,818","1,375,826","2,972,657","757,224","706,873","1,663,620","512,722","527,924","881,696"
2023/6/12,"287,763","613,762","1,195,721","1,076,921","554,396","525,816","1,126,425","852,503","1,616,604","368,180","265,674","846,366","437,943","308,638","562,847"
2023/6/13,"325,868","610,392","939,597","926,956","508,328","483,244","979,458","622,586","1,154,159","292,903","189,104","630,580","269,663","312,683","393,097"
2023/6/14,"270,992","634,630","904,881","904,717","513,774","480,779","1,005,041","604,225","1,091,446","285,439","250,480","617,632","240,504","267,146","434,002"
2023/6/15,"293,384","666,990","894,695","967,796","521,640","462,583","991,516","603,014","1,211,379","284,328","251,310","656,743","235,760","378,776","411,309"
2023/6/16,"358,766","763,881","1,056,673","1,219,969","622,962","610,566","1,193,292","772,155","1,434,964","420,806","279,886","843,969","274,941","338,945","502,853"
2023/6/17,"381,666","1,001,160","1,443,990","1,488,648","721,007","633,227","1,835,139","1,123,177","2,237,685","568,637","482,895","1,265,190","360,228","369,370","720,924"
2023/6/18,"392,189","1,160,528","1,561,784","1,855,238","808,111","757,556","1,859,261","1,176,084","2,661,987","693,719","588,111","1,540,023","463,519","472,495","795,070"
2023/6/19,"299,074","654,985","1,126,015","1,063,318","532,528","548,193","1,177,534","726,693","1,452,410","354,448","303,611","889,166","391,156","404,271","554,815"
2023/6/20,"339,498","658,815","942,116","998,718","543,695","596,517","1,139,350","680,929","1,325,934","320,376","259,328","759,048","307,471","484,239","483,081"
2023/6/21,"372,236","986,646","1,400,548","1,650,008","800,281","667,405","1,739,648","1,230,746","2,288,530","578,411","541,374","1,084,246","369,727","363,678","837,654"
2023/6/22,"378,624","1,366,796","2,662,561","2,710,978","1,330,093","1,000,238","2,702,071","2,183,332","4,159,552","1,174,481","1,191,204","2,431,021","829,105","344,443","1,079,506"
